priority,issue,store_id,product_id,evidence,operational_impact,financial_impact_inr,recommended_action,suggested_owner,suggested_timing
CRITICAL,Lead-time stock deficit,6,27,Stock 10; daily planning demand 9.86; lead 5 days; safety 17; failed replenishments 1,Unfulfilled future demand risk,20035.71428571429,Review reorder of 126 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,6,30,Stock 17; daily planning demand 9.29; lead 3 days; safety 9; failed replenishments 1,Unfulfilled future demand risk,4842.2857142857165,Review reorder of 85 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,6,31,Stock 0; daily planning demand 12.14; lead 5 days; safety 17; failed replenishments 1,Unfulfilled future demand risk,9107.142857142857,Review reorder of 163 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,6,34,Stock 10; daily planning demand 8.00; lead 3 days; safety 12; failed replenishments 2,Unfulfilled future demand risk,7854.0,Review reorder of 82 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,6,35,Stock 4; daily planning demand 7.71; lead 5 days; safety 10; failed replenishments 1,Unfulfilled future demand risk,10371.42857142857,Review reorder of 99 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,6,39,Stock 10; daily planning demand 6.14; lead 5 days; safety 9; failed replenishments 3,Unfulfilled future demand risk,12594.285714285716,Review reorder of 73 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,7,3,Stock 91; daily planning demand 67.86; lead 5 days; safety 52; failed replenishments 0,Unfulfilled future demand risk,100555.7142857143,Review reorder of 776 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,7,6,Stock 71; daily planning demand 41.29; lead 3 days; safety 21; failed replenishments 0,Unfulfilled future demand risk,11628.57142857143,Review reorder of 363 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,7,7,Stock 82; daily planning demand 35.96; lead 5 days; safety 28; failed replenishments 1,Unfulfilled future demand risk,74833.39285714287,Review reorder of 378 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,7,11,Stock 23; daily planning demand 24.57; lead 5 days; safety 27; failed replenishments 1,Unfulfilled future demand risk,25463.57142857143,Review reorder of 299 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,7,14,Stock 32; daily planning demand 21.43; lead 3 days; safety 15; failed replenishments 0,Unfulfilled future demand risk,12074.85714285714,Review reorder of 198 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,7,15,Stock 40; daily planning demand 17.39; lead 5 days; safety 20; failed replenishments 0,Unfulfilled future demand risk,11975.892857142855,Review reorder of 189 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,7,19,Stock 3; daily planning demand 16.29; lead 5 days; safety 16; failed replenishments 0,Unfulfilled future demand risk,47684.57142857142,Review reorder of 209 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,7,23,Stock 23; daily planning demand 10.71; lead 5 days; safety 18; failed replenishments 1,Unfulfilled future demand risk,23387.142857142855,Review reorder of 124 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,7,26,Stock 16; daily planning demand 11.14; lead 3 days; safety 13; failed replenishments 0,Unfulfilled future demand risk,7773.142857142858,Review reorder of 109 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,7,27,Stock 21; daily planning demand 8.79; lead 5 days; safety 15; failed replenishments 1,Unfulfilled future demand risk,11693.57142857143,Review reorder of 100 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,7,31,Stock 15; daily planning demand 8.57; lead 5 days; safety 12; failed replenishments 0,Unfulfilled future demand risk,4178.571428571428,Review reorder of 100 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,7,34,Stock 16; daily planning demand 8.14; lead 3 days; safety 10; failed replenishments 2,Unfulfilled future demand risk,4728.428571428571,Review reorder of 76 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Lead-time stock deficit,7,35,Stock 17; daily planning demand 7.14; lead 5 days; safety 11; failed replenishments 0,Unfulfilled future demand risk,5614.285714285715,Review reorder of 80 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,7,38,Stock 2; daily planning demand 8.71; lead 3 days; safety 10; failed replenishments 1,Unfulfilled future demand risk,5311.428571428571,Review reorder of 96 units; confirm inbound before placing order,Supply Chain Manager,Today
CRITICAL,Lead-time stock deficit,7,39,Stock 4; daily planning demand 7.86; lead 5 days; safety 12; failed replenishments 0,Unfulfilled future demand risk,21453.714285714286,Review reorder of 103 units; confirm inbound before placing order,Supply Chain Manager,Today
HIGH,Delivery service threshold,0,-1,36.7% late; P90 35.9 minutes,Customer promise misses,1013924.64,"Inspect distance mix, pick time and peak staffing; cost shown is exposure, not avoidable loss",Operations Head,Today
HIGH,Delivery service threshold,1,-1,26.5% late; P90 34.0 minutes,Customer promise misses,1086973.4899999998,"Inspect distance mix, pick time and peak staffing; cost shown is exposure, not avoidable loss",Operations Head,Today
HIGH,Delivery service threshold,2,-1,23.1% late; P90 33.1 minutes,Customer promise misses,1150035.5999999999,"Inspect distance mix, pick time and peak staffing; cost shown is exposure, not avoidable loss",Operations Head,Today
HIGH,Delivery service threshold,3,-1,22.8% late; P90 33.2 minutes,Customer promise misses,1249217.76,"Inspect distance mix, pick time and peak staffing; cost shown is exposure, not avoidable loss",Operations Head,Today
HIGH,Delivery service threshold,4,-1,24.9% late; P90 33.6 minutes,Customer promise misses,1011430.62,"Inspect distance mix, pick time and peak staffing; cost shown is exposure, not avoidable loss",Operations Head,Today
HIGH,Delivery service threshold,5,-1,27.4% late; P90 34.0 minutes,Customer promise misses,1088273.0399999998,"Inspect distance mix, pick time and peak staffing; cost shown is exposure, not avoidable loss",Operations Head,Today
HIGH,Delivery service threshold,6,-1,29.2% late; P90 34.5 minutes,Customer promise misses,1161050.05,"Inspect distance mix, pick time and peak staffing; cost shown is exposure, not avoidable loss",Operations Head,Today
HIGH,Delivery service threshold,7,-1,31.3% late; P90 35.0 minutes,Customer promise misses,1244599.21,"Inspect distance mix, pick time and peak staffing; cost shown is exposure, not avoidable loss",Operations Head,Today
HIGH,Modeled capacity pressure,0,-1,117 days exceed modeled capacity; peak 440 orders,Picking congestion,0.0,Review shift coverage and batching; no financial benefit assumed,Operations Head,Next roster review
HIGH,Modeled capacity pressure,1,-1,72 days exceed modeled capacity; peak 443 orders,Picking congestion,0.0,Review shift coverage and batching; no financial benefit assumed,Operations Head,Next roster review
HIGH,Modeled capacity pressure,2,-1,33 days exceed modeled capacity; peak 414 orders,Picking congestion,0.0,Review shift coverage and batching; no financial benefit assumed,Operations Head,Next roster review
HIGH,Modeled capacity pressure,3,-1,15 days exceed modeled capacity; peak 441 orders,Picking congestion,0.0,Review shift coverage and batching; no financial benefit assumed,Operations Head,Next roster review
HIGH,Modeled capacity pressure,4,-1,2 days exceed modeled capacity; peak 458 orders,Picking congestion,0.0,Review shift coverage and batching; no financial benefit assumed,Operations Head,Next roster review
